group_review,id_revue,issn_p,issn_e
G1,560,0018-4306,2101-0226
G1,561,0027-2671,1961-8646
G1,561,0398-8120,2419-8900
G1,561,0398-8147,
G1,562,0181-4095,2101-0382
G1,563,0302-3052,1782-1444
G1,565,0292-0107,1777-5841
G1,566,1780-9231,1782-1452
G1,568,1951-9532,1961-8697
G1,569,1636-3671,1951-624X
G1,570,0035-1652,1760-8430
G1,571,1682-346X,1684-3592
G1,572,1634-2941,1958-9190
G1,573,0032-4663,1957-7966
G1,574,1376-0963,1782-1479
G1,575,1770-0078,1951-6320
G1,576,0079-726X,2102-5320
G1,577,0251-737X,2235-2104
G1,578,1245-2092,1782-1487
G1,579,,1760-5393
G1,579,,1760-5393
G1,580,1291-1941,1950-6708
G1,581,1956-7413,2119-3975
G1,582,1144-0821,2102-5819
G1,583,1247-4819,1776-3053
G1,584,1813-2731,1813-274X
G1,585,0770-4518,1782-1495
G1,586,1774-9743,1951-6282
G1,587,1767-5448,1965-0213
G1,588,1560-7798,1684-3452
G1,589,0255-0830,1684-3444
G1,590,0397-7870,1776-3061
G1,591,1386-1204,1875-368X
G1,592,0035-2942,2105-2964
G1,593,1164-4796,2105-2603
G1,594,1966-6608,2104-3833
G1,595,0035-2411,2105-2689
G1,596,0048-8003,1776-3045
G1,596,0996-2727,2420-0344
G1,596,0996-2743,2419-6622
G1,597,1622-468X,1963-1022
G1,598,1010-8831,1782-1525
G1,599,0223-5404,1951-6312
G1,600,0035-1466,1965-0264
G1,601,0027-2841,1782-1436
G1,602,0035-1571,2102-5177
G1,603,0035-3833,2104-385X
G1,604,0297-1194,1776-2863
G1,605,0034-2971,1782-1509
G1,606,1167-4687,1961-8719
G1,607,0034-1258,2104-3884
G1,608,1634-3298,1776-2871
G1,609,2678-9035,2105-2182
G1,609,1765-8888,2729-0352
G1,610,1378-1863,1782-1541
G1,610,2118-5735,2118-5743
G1,611,1265-2067,1776-288X
G1,612,0765-3697,1782-155X
G1,613,1295-9278,2104-3787
G1,614,1278-4699,1951-6274
G1,615,0995-3914,2104-3841
G1,616,0247-106X,1782-1568
G1,617,0250-4952,2235-2112
G1,618,0041-1868,2104-3663
G1,619,0082-6049,1782-1576
G1,620,0040-9375,1965-0604
G1,621,1620-5340,2102-5150
G1,622,1627-9506,2104-3779
G1,623,0396-8669,1776-2898
G1,629,0769-0959,1960-6176
G1,630,0240-8910,1961-960X
G1,631,1243-969X,1778-7432
G1,632,1628-6731,1777-5175
G1,633,,1609-9168
G1,634,,1954-3778
G1,635,0335-5985,1777-5825
G1,635,0003-9659,2268-2872
G1,636,,1762-6110
G1,637,,2117-3869
G1,637,1245-1436,1954-3646
G1,637,,2117-3869
G1,639,,1958-9271
G1,639,,1958-9271
G1,640,1623-5770,
G1,640,1623-5770,
G1,641,0037-8984,1777-5469
G1,642,,1957-7761
G1,642,,1957-7761
G1,643,0395-9317,1773-0201
G1,644,1287-471X,1773-021X
G1,645,1272-9752,1955-2424
G1,645,2115-6360,2273-0893
G1,646,0008-0055,1777-5353
G1,647,0764-9878,1777-5396
G1,648,,1963-1197
G1,648,,1963-1197
G1,649,0373-5834,1961-8603
G1,649,3001-2139,3001-591X
G1,650,1252-6576,1777-5388
G1,650,3038-0979,3038-4222
G1,650,0008-0160,1968-3677
G1,651,,1777-5272
G1,651,,1777-5272
G1,652,1248-0568,1996-4978
G1,652,,2308-6122
G1,653,1252-7017,1777-5299
G1,654,,1958-9212
G1,654,,1958-9212
G1,655,2033-5709,1783-094X
G1,656,1268-5631,1777-5337
G1,657,1638-9808,1765-3126
G1,658,1376-2095,
G1,658,,1379-6100
G1,659,,1278-3366
G1,659,,1278-3366
G1,660,,1772-9971
G1,660,,1772-9971
G1,661,,1963-1723
G1,661,,1963-1723
G1,662,0184-1068,1955-2432
G1,663,1373-8496,1778-7440
G1,664,1245-2084,1953-809X
G1,664,2969-0072,1953-809X
G1,665,0339-3267,2513-6119
G1,666,,1951-6169
G1,666,,1951-6169
G1,667,1779-0980,1961-859X
G1,668,1270-9050,1777-5302
G1,669,0014-2182,1777-537X
G1,670,,1991-9336
G1,671,,1773-0546
G1,671,,1773-0546
G1,672,1766-2842,1957-7753
G1,673,1627-4873,1960-601X
G1,673,1164-6268,1968-3669
G1,673,0035-113X,2257-2430
G1,673,1164-6284,1968-3707
G1,674,1266-5304,1957-777X
G1,675,0982-1783,1957-7745
G1,676,0439-4216,1953-8103
G1,677,1288-6289,1950-6031
G1,678,1146-6480,1960-6052
G1,679,0037-9174,1957-7842
G1,680,0399-0346,1957-7850
G1,680,0037-9166,2419-655X
G1,681,,1958-9247
G1,681,,1958-9247
G1,682,,1769-7069
G1,682,,1769-7069
G1,683,0987-6936,1950-6821
G1,684,0751-2708,1777-5892
G1,685,1626-0600,1769-7379
G1,686,,1957-7788
G1,686,,1957-7788
G1,687,1275-7691,1773-0228
G1,688,,1626-0252
G1,688,,1626-0252
G1,689,,1765-2812
G1,690,1283-8594,1777-5280
G1,691,0220-6617,1951-6207
G1,691,0035-0753,2540-5373
G1,692,0769-0886,1955-2416
G1,693,0986-6124,1958-9239
G1,694,,1957-7796
G1,694,1288-5967,1950-2737
G1,694,,1957-7796
G1,695,1287-2431,3038-8384
G1,695,1962-9419,1777-540X
G1,696,1265-1354,1777-5329
G1,696,0765-0191,2613-2826
G1,696,1155-8792,2613-2818
G1,696,1155-8814,2613-2796
G1,696,1155-8806,2613-280X
G1,697,0035-1423,2105-2573
G1,698,0997-1327,2105-2271
G1,698,0035-1474,1968-3685
G1,699,0765-0752,1777-5418
G1,701,0986-8410,1777-5426
G1,701,2103-4001,2119-4696
G1,702,1280-374X,1777-5434
G1,703,0761-2990,1957-780X
G1,704,,1953-8375
G1,705,1276-8707,1773-018X
G1,706,,1992-2655
G1,707,,1950-6724
G1,707,,1950-6724
G1,708,,1960-6060
G1,708,,1960-6060
G1,709,0768-8067,1777-5442
G1,710,0248-6016,1952-420X
G1,711,0760-5668,1777-5450
G1,712,1763-0061,1963-1812
G1,713,,1765-2766
G1,713,,1765-2766
G1,717,0003-4010,1777-5884
G1,718,0395-2649,1953-8146
G1,718,0003-441X,2420-0018
G1,718,1243-258X,2420-4641
G1,718,1243-2563,2437-2315
G1,718,1243-2571,2420-465X
G1,719,0336-1500,1778-7459
G1,719,1268-7251,2269-6156
G1,720,0752-5702,1777-5906
G1,721,0458-726X,1958-9549
G1,722,0003-5033,1955-2580
G1,723,1777-7852,2269-7721
G1,724,0180-7307,2107-0865
G1,725,1294-6303,2105-2174
G1,729,0373-6237,1953-8138
G1,730,0007-4217,2241-0104
G1,731,0249-7638,1760-7361
G1,732,0336-1519,1760-737X
G1,734,0153-3320,1960-6028
G1,735,0755-7256,1955-270X
G1,737,1154-2721,1958-9557
G1,737,1162-9630,2547-3964
G1,738,0023-8368,1957-7982
G1,739,1627-4970,1960-5994
G1,740,0769-3206,1952-4226
G1,741,0223-4874,2036-0258
G1,742,1146-1225,1960-6648
G1,742,0755-8287,1968-3650
G1,743,0153-9345,1957-701X
G1,744,1262-1676,1960-6656
G1,745,1142-2904,1965-0795
G1,745,0004-5500,2804-1836
G1,746,1240-3474,1960-6664
G1,747,0035-1121,1760-7426
G1,747,0249-6178,1968-3693
G1,748,0035-1326,1953-812X
G1,749,0151-4105,1969-6582
G1,749,0048-7996,2741-924X
G1,750,0484-8942,1963-1693
G1,751,0048-8593,1957-7958
G1,752,0014-2115,2426-5543
G1,754,1958-7856,1958-5535
G1,757,0035-2985,2111-4358
G1,764,0242-5637,2105-2670
G1,765,0588-8018,2102-5924
G1,766,0065-0536,1969-6663
G1,768,1105-2201,1791-7077
G1,769,1771-1347,1969-654X
G1,769,0181-6799,2547-4553
G1,770,0752-5648,2437-2420
G1,770,0752-563X,2437-2412
G1,771,0048-7988,2109-9502
G1,772,0039-7946,2076-8435
G1,773,0084-6473,1969-6752
G1,774,0154-8344,1969-6779
G1,775,1268-5399,1969-6809
G1,776,1954-1228,1969-6957
