group_review,id_revue,issn_p,issn_e
G2,1651,0984-8207,2262-4783
G2,1659,0992-5279,2260-8478
G2,1659,0248-9775,2801-992X
G2,1666,0994-2424,2262-4848
G2,1667,0007-473X,2275-5039
G2,1670,0986-6035,2111-4412
G2,1672,0338-9316,2261-0200
G2,1674,,1778-3887
G2,1674,,1778-3887
G2,1676,,1664-0136
G2,1677,0339-7513,2823-1848
G2,1678,2398-5682,2268-3763
G2,1679,,1769-7425
G2,1679,,1769-7425
G2,1680,,2258-2738
G2,1681,1287-3349,2275-4776
G2,1682,1952-9201,1961-9391
G2,1692,0069-5580,2109-9227
G2,1693,0067-4222,2261-639X
G2,1694,0989-3059,2114-2130
G2,1695,2556-2053,2109-9537
G2,1696,1645-3794,2182-7400
G2,1697,0290-7402,2261-4184
G2,1698,,1765-307X
G2,1698,0993-8516,1765-307X
G2,1699,0765-4944,2111-5044
G2,1700,1770-9571,2260-779X
G2,1706,0758-1858,2546-8294
G2,1711,1277-7897,3040-0597
G2,1712,,2115-6395
G2,1712,,2115-6395
G2,1715,1519-1265,2316-7793
G2,1718,,2271-7641
G2,1719,1164-5857,2260-7706
G2,1720,0246-0092,2260-7730
G2,1721,0776-3824,2034-7871
G2,1724,2267-7313,2271-1848
G2,1724,1957-5246,2264-4938
G2,1726,,2264-7082
G2,1726,,2264-7082
G2,1727,0397-0299,2430-2848
G2,1728,0241-2799,2264-2641
G2,1729,,2282-5703
G2,1730,1246-8258,2265-9404
G2,1731,1262-2788,2313-514X
G2,1732,1962-1086,2259-5309
G2,1733,1254-7689,2259-3780
G2,1734,2257-5111,2264-2749
G2,1735,0020-0204,1952-4056
G2,1736,0994-7949,2264-590X
G2,1737,1953-6119,2264-525X
G2,1738,1969-2269,2264-2595
G2,1739,2101-6739,2102-6025
G2,1740,1967-7359,2264-5748
G2,1741,0779-1674,2264-5209
G2,1743,0755-9593,2259-3764
G2,1744,0770-2310,2406-4742
G2,1745,2114-2068,2259-6003
G2,1746,0032-7638,2271-197X
G2,1747,2259-2490,2260-5584
G2,1748,1286-9449,2259-3799
G2,1753,1639-8319,1955-2351
G2,1757,1639-4399,2271-7501
G2,1757,1639-4399,2271-7501
G2,1760,1626-5378,2259-4566
G2,1761,3002-5478,2969-9932
G2,1761,2112-5147,2271-7811
G2,1762,0295-5652,2271-1880
G2,1768,1950-5051,2726-2588
G2,1769,0042-7306,1783-1830
G2,1770,0035-2624,2271-7005
G2,1771,1254-3179,2271-7749
G2,1791,2103-2874,2295-9726
G2,1799,0032-9622,
G2,1806,1111-2050,2253-0738
G2,1809,1729-0228,2411-0884
G2,1823,,2109-9081
G2,1823,,2109-9081
G2,1825,1377-2368,2294-9135
G2,1826,0396-891X,2266-1816
G2,1828,,2117-4911
G2,1828,,2117-4911
G2,1830,1646-5075,2182-7419
G2,1831,2263-2158,2262-8339
G2,1831,1779-7519,2262-8169
G2,1832,1969-4202,1765-3142
G3,1833,,2264-7228
G3,1833,,2264-7228
G3,1834,0417-8726,1775-4194
G3,1835,0992-7654,2221-4038
G3,1836,,1765-2901
G3,1836,,1765-2901
G3,1837,2109-3016,1775-3783
G3,1838,1266-7188,2261-5482
G3,1839,0873-6561,2182-2891
G3,1840,0872-8380,2182-7427
G3,1841,1298-9800,1955-2408
G3,1841,2260-3875,2265-786X
G3,1842,,2266-839X
G3,1842,,2266-839X
G3,1843,,2317-7837
G3,1844,,2162-5603
G3,1845,1628-2329,2109-9219
G3,1846,2495-7593,2263-8989
G3,1847,,2116-5289
G3,1847,,2116-5289
G3,1848,1291-7206,
G3,1848,,2264-623X
G3,1849,0246-8743,2118-9692
G3,1850,0223-5102,1724-2134
G3,1851,1123-9891,1724-2142
G3,1852,1123-9883,1724-2150
G3,1853,1484-2254,1929-221X
G3,1854,,2261-9623
G3,1854,,2261-9623
G3,1855,1148-8158,2109-943X
G3,1856,,1481-9384
G3,1857,0338-2338,
G3,1858,,1647-3175
G3,1859,,2264-6949
G3,1859,,2264-6949
G3,1860,0254-1106,2182-7435
G3,1861,0035-2217,2259-0285
G3,1862,0181-0448,2260-2941
G3,1863,,1760-7507
G3,1863,,1760-7507
G3,1864,,2263-0856
G3,1864,,2263-0856
G3,1865,1253-7837,1775-3988
G3,1866,1254-4590,2261-4265
G3,1867,2031-7654,2034-6395
G3,1869,,1775-3554
G3,1872,1660-5926,1663-9677
G3,1882,2295-5518,2406-4718
G3,1883,1623-6742,2271-2852
G3,1907,0570-1716,2429-2850
G3,1911,1243-275X,2804-0163
G3,1912,1157-5999,1950-6953
G3,1913,1635-0421,1952-3998
G3,1921,2261-3684,2261-2211
G3,1923,2950-4368,2950-4333
G3,1923,0398-7620,1773-0627
G3,1949,,2259-924X
G3,1949,,2259-924X
G3,1955,1661-8009,2273-1598
G3,2010,2257-0543,2425-231X
G3,2013,,2107-691X
G3,2014,,1773-0236
G3,2015,,1961-991X
G3,2027,,2271-751X
G3,2027,,2271-751X
G3,2028,,1777-5485
G3,2028,,1777-5485
G3,2032,,2182-9543
G3,2033,,2267-2419
G3,2033,,2267-2419
G3,2034,0873-6529,2182-7907
G3,2036,2431-4501,2490-7944
G3,2036,2101-8081,2107-0210
G3,2036,1149-1590,1777-5620
G3,2038,2266-3134,2425-2158
G3,2045,0014-2026,2296-5084
G3,2046,1165-0354,2267-6759
G3,2047,1581-7652,1855-7112
G3,2048,0776-0116,2295-2667
G3,2049,1253-1006,2825-2772
G3,2050,,2268-1744
G3,2050,,2268-1744
G3,2054,0222-674X,2554-8395
G3,2057,0008-042X,2268-7963
G3,2061,,2198-6754
G3,2065,1127-266X,2532-0319
G3,2067,0338-2389,2425-2042
G3,2069,0424-2238,2491-2875
G3,2071,,2116-8865
G3,2071,,2116-8865
G3,2072,2268-8870,2271-2151
G3,2073,0246-9367,2728-2422
G3,2078,2609-5211,2822-9886
G3,2078,1957-0341,2426-6248
G3,2085,1296-2104,2272-9968
G3,2090,1769-8502,2427-5409
G3,2090,0335-0894,2401-0987
G3,2090,1299-085X,1298-0153
G3,2090,1288-6742,1292-8879
G3,2093,0758-7708,2275-4865
G3,2094,1148-7941,2271-7978
G3,2095,1268-4783,2271-8052
G3,2097,,2100-0670
G3,2097,,2100-0670
G3,2100,0292-2215,2971-3072
G3,2113,2262-5305,2270-2504
G3,2113,0294-0736,2270-2520
G3,2113,2679-2346,2534-4269
G3,2114,0004-5527,2275-5160
G3,2115,0994-3722,2118-724X
G3,2118,0987-7576,2804-2514
G3,2119,0183-5173,2437-2226
G3,2119,0021-7662,2437-2218
G3,2119,0370-3681,2419-8021
G3,2119,0370-5412,2437-2242
G3,2121,1260-4984,2271-7188
G3,2122,1257-7537,2271-1856
G3,2124,,2270-6798
G3,2124,,2270-6798
G3,2126,,2271-6092
G3,2126,,2271-6092
G3,2127,0769-4563,
G3,2127,1288-7145,2270-0374
G3,2128,2265-9811,2496-431X
G3,2129,0293-0277,2540-3443
G3,2131,2262-7030,2271-2127
G3,2138,0315-2340,2291-8949
G3,2140,0102-4302,2357-738X
G3,2141,,2270-6909
G3,2141,,2270-6909
G3,2142,2259-6372,2271-2836
G3,2143,,1499-7185
G3,2144,0180-684X,2271-1465
G3,2145,,2426-5551
G3,2145,,2426-5551
G3,2147,2257-6517,2273-1350
G3,2147,1273-6449,2426-6574
G3,2148,,2271-6246
G3,2148,,2271-6246
G3,2150,0750-5299,2271-6424
G3,2151,1961-4829,2270-7336
G3,2152,0153-0313,2271-5703
G3,2153,1168-4917,2271-5444
G3,2154,0870-4546,2183-2021
G3,2155,0220-5610,2271-6149
G3,2156,,1775-3902
G3,2156,,1775-3902
G3,2158,1276-2458,2271-1732
G3,2159,0583-8266,2276-1993
G3,2161,2235-7823,2297-5977
G3,2162,1767-3151,2273-2225
G3,2163,,1853-8037
G3,2164,,2108-6559
G3,2164,,2108-6559
G3,2167,0990-6908,2272-8856
G3,2168,0297-2964,2271-8362
G3,2169,,2264-119X
G3,2169,,2264-119X
G3,2173,1646-9860,2312-5195
G3,2178,1772-2101,2552-0334
G3,2179,,2260-1155
G3,2194,1962-3968,3000-9545
G3,2206,1276-4183,3003-7484
G3,2208,1148-2656,2272-6187
G3,2221,0249-3624,3076-3444
G3,2221,1251-2419,2823-9482
G3,2224,0395-773X,2272-9992
G3,2233,1256-5733,2823-9342
G3,2233,0769-4504,2823-9369
G3,2237,0994-5490,2272-4001
G3,2243,0247-0101,1775-3805
G3,2250,1276-4930,2273-0257
G3,2250,0035-3221,2437-2234
G3,2251,2021-5819,2437-2382
G3,2251,0243-9069,2437-2331
G3,2251,0990-1027,2496-7564
G3,2252,1631-0438,2275-4954
G3,2252,0399-1385,2437-2250
G3,2252,0399-1377,2419-3887
G3,2252,0300-9513,2419-4522
G3,2254,1377-8935,2272-060X
G3,2255,1646-1479,2183-2269
G3,2256,0247-381X,2272-9852
G3,2257,1634-7706,2273-0362
G3,2258,,1647-0737
G3,2259,0563-9751,2273-0311
G3,2262,0031-0387,2272-7639
G3,2263,,2272-916X
G3,2263,,2272-916X
G3,2267,0014-2239,2272-9011
G3,2269,2190-0078,2198-8943
G3,2270,,1809-4341
G3,2279,,1981-3341
G3,2285,0018-7364,2779-1815
G3,2287,1762-3227,2272-8023
G3,2287,0758-7171,2778-5696
G3,2288,0773-0543,2406-4734
G3,2289,2681-6415,2824-2475
G3,2289,1244-9288,2272-8090
G3,2290,2260-2895,2272-8481
G3,2291,2273-8525,2270-2385
G3,2292,2110-6657,2272-9054
G3,2294,0104-7183,1806-9983
G3,2295,0004-5322,2275-5195
G3,2302,,1646-740X
G3,2303,2271-068X,2426-5977
G3,2305,1773-9128,2261-7922
G3,2307,0991-9228,2824-8864
G3,2307,0035-1601,1958-5632
G3,2314,0771-6796,2684-1339
G3,2332,,2101-0714
G3,2332,,2101-0714
G3,2333,0249-6267,2274-0511
G3,2341,0779-7389,2269-8469
G3,2345,1018-1946,2823-1090
G3,2347,1770-9687,2275-1785
G3,2348,,2275-1742
G3,2348,,2275-1742
G3,2349,0071-2051,2275-1947
G3,2352,1257-0311,2970-8370
G3,2353,0035-3809,2593-4848
G3,2359,,2114-0502
G3,2359,,2114-0502
G3,2382,2677-7924,2678-6133
G3,2382,1964-5007,2426-5489
G3,2383,,1638-573X
G3,2383,,1638-573X
G3,2385,,2275-2293
G3,2385,,2275-2293
G3,2387,,2238-0361
G3,2388,1111-4371,
G3,2391,2113-5207,2269-8450
G3,2391,2113-5207,2269-8450
G3,2392,,2258-014X
G3,2392,,2258-014X
G3,2395,0014-2247,2426-6078
G3,2400,,2110-6134
G3,2400,,2110-6134
G3,2404,1767-7114,2416-8742
G3,2406,1760-5342,1760-5350
G3,2407,0761-8980,1951-6614
G3,2422,1250-3274,
G3,2427,,2364-0480
G3,2448,1154-5852,2417-6516
G3,2449,,2416-5999
G3,2452,1374-1942,2953-089X
G3,2474,2269-5281,2425-1682
G3,2474,1769-8316,2401-0995
G3,2475,0751-2589,2803-6670
G3,2483,2108-8926,2426-6264
G3,2484,2112-7689,2263-7516
G3,2486,1278-3331,2802-2777
G3,2487,2425-6250,2431-1766
G3,2488,,2425-1593
G3,2488,,2425-1593
G3,2489,0242-7702,2425-1941
G3,2490,0029-4845,2406-4726
G3,2507,,1634-0450
G3,2507,,1634-0450
G3,2509,,2427-9188
G3,2509,,2427-9188
G3,2510,,2430-4247
G3,2510,,2430-4247
G3,2520,2100-1340,2427-920X
G3,2524,1161-9473,2496-7114
G3,2531,2101-9304,2726-8004
G3,2548,0073-8204,2513-6100
G3,2548,0373-6075,2507-0185
G3,2557,0987-6014,2431-210X
G3,2567,1250-7970,2377-9640
G3,2572,0242-9780,2804-9284
G3,2576,1625-8312,1624-6039
G3,2592,,1954-3077
G3,2592,,1954-3077
G3,2593,,2240-7456
G3,2598,0294-3069,2823-961X
G3,2599,1286-1286,2426-640X
G3,2600,2256-7186,2426-6272
G3,2601,0768-6625,2428-3592
G3,2608,,2264-6221
G3,2608,,2264-6221
G3,2609,,2368-9587
G3,2609,,1913-5297
G3,2614,0985-1402,2428-3568
G3,2615,2428-3711,2428-3614
G3,2697,0121-5612,1900-6004
G3,3128,0997-5551,2429-4578
G3,3131,,2275-6639
G3,3131,,2275-6639
G3,3132,,2116-0813
G3,3132,,2116-0813
G3,3133,0248-9015,2429-4373
G3,3135,1951-5030,2728-3372
G3,3136,1161-0557,2496-7467
G3,3138,2101-4736,2428-3622
G3,3139,2031-4183,2506-6390
G3,3140,1875-0672,1875-0680
G3,3153,,2268-5790
G3,3166,1269-0589,2108-7016
G3,3167,1951-0519,2430-2880
G3,3181,1243-3616,2429-9499
G3,3182,2389-6086,2279-7203
G3,3183,,2269-2657
G3,3183,,2269-2657
G3,3192,2428-4068,2649-7565
G3,3196,1634-3123,2431-2045
G3,3199,0033-9075,2649-7999
G3,3200,0995-7367,2551-9808
G3,3204,0066-6564,2428-7180
G3,3214,0980-2797,2649-7751
G3,3219,2030-5656,1784-5734
G3,3223,1286-1715,2649-8529
G3,3231,1637-5823,2431-1472
G3,3235,0299-7258,2417-0097
G3,3255,0396-4590,2729-0603
G3,3259,1638-9867,2649-7263
G3,3275,2111-885X,2553-6141
G3,3275,1162-5082,
G3,3275,0026-9425,
G3,3275,1281-1505,
G3,3281,0014-2158,2645-1026
G3,3289,1265-7034,
G3,3289,1265-7034,
G3,3300,2429-2877,2554-8441
G3,3303,,2431-8574
G3,3303,,2431-8574
G3,3307,1967-0311,2431-8663
G3,3308,,2038-0925
G3,3309,,1961-9685
G3,3309,,1961-9685
G3,3313,0870-6182,2183-7791
G3,3321,,2275-0827
G3,3321,,2275-0827
G3,3322,,2115-8037
G3,3323,,2100-0689
G3,3324,,2428-8500
G3,3325,,2492-1599
G3,3338,0398-2025,2431-8698
G3,3342,1784-5157,2466-8443
G3,3344,2295-3671,2593-5747
G3,3352,,2109-9480
G3,3356,1955-0855,2606-1988
G3,3358,0994-1819,1950-6058
G3,3362,,2114-5350
G3,3364,0294-0868,1777-5558
G3,3365,1628-6391,2104-3760
G3,3372,0249-7395,2429-6422
G3,3372,0040-3865,2513-7379
G3,3376,2102-7188,2109-9472
G3,3385,1265-1338,2613-2850
G3,3385,1952-8302,1764-7223
G3,3396,1158-1360,1878-1829
G3,3422,,2258-093X
G3,3422,,2258-093X
G3,3424,1623-6572,2107-0385
G3,3424,0336-1578,2669-3194
G3,3427,0297-9373,1961-988X
G3,3434,,2266-0909
G3,3434,,2266-0909
G3,3443,1967-7499,2492-7457
G3,3446,0295-5024,2492-0614
G3,3449,0035-2004,2540-2544
G3,3450,1283-8446,2513-6097
G3,3455,2429-2230,2822-7468
G3,3477,0066-2348,2492-0509
G3,3480,0032-3632,2268-3798
G3,3494,1373-9689,2561-2271
G3,3496,2100-0808,2100-0816
G3,3530,,1961-9936
G3,3536,,1862-5886
G3,3550,2109-5671,2492-7503
G3,3554,,2105-0821
G3,3554,,2105-0821
G3,3555,0001-4079,2271-4820
G3,3568,2260-0299,2492-0606
G3,3578,0039-2944,2421-5856
G3,3636,2296-5165,2296-519X
G3,3643,0249-6674,2493-7460
G3,3643,2741-0781,2825-0176
G3,3644,2431-8175,2268-5243
G3,3656,,1765-2723
G3,3656,,1765-2723
G3,3660,0035-6212,2421-5864
G3,3662,0033-4952,2421-5848
G3,3666,0048-4911,3001-4506
G3,3680,,1760-5296
G3,3707,1270-9840,2606-6343
G3,3710,0755-9208,2823-9016
G3,3710,2425-6870,2425-6897
G3,3710,1966-9607,2117-4857
G3,3713,2494-5757,2427-0687
G3,3714,2273-0753,2606-9245
G3,3715,2269-9201,2495-0920
G3,3716,2263-8911,2557-2113
G3,3740,,2264-2617
G3,3740,,2264-2617
G3,3744,0295-6063,2513-6089
G3,3772,1150-8809,2804-2107
G3,3784,0575-1330,1783-1628
G3,3785,,1951-6215
G3,3785,,1951-6215
G3,3791,0035-8029,2391-1018
G3,3793,0777-3579,
G3,3797,3039-2667,2551-3583
G3,3798,,2276-3457
G3,3803,0335-5004,2777-3655
G3,3806,0999-4203,2496-4212
G3,3807,1290-9653,2496-4514
G3,3808,0761-8271,2647-7300
G3,3810,1634-8842,2264-1246
G3,3814,1243-8170,2497-6784
G3,3821,0152-0032,2498-4191
G3,3828,0018-6368,1958-5551
G3,3833,1267-8996,2420-5796
G3,3833,0398-3609,2420-6466
G3,3834,0398-3587,2419-1949
G3,3842,1292-2765,3003-4671
G3,3844,1164-6225,2647-6754
G3,3846,1959-1985,3099-1609
G3,3848,2111-4064,2498-0730
G3,3849,,1646-7698
G3,3850,,0718-5049
G3,3854,2650-7137,2418-3547
G3,3857,0035-0958,2114-5156
G3,3859,1958-3702,2678-601X
G3,3862,0182-5887,2826-9691
G3,3863,0035-1733,1760-7620
G3,3879,,2262-208X
G3,3879,,2262-208X
G3,3880,,1958-5772
G3,3880,,1958-5772
G3,3881,1150-594X,2546-9460
G3,3881,2272-0642,2553-1875
G3,3883,1775-2329,2553-1891
G3,3884,2182-6471,2520-0305
G3,3886,,1950-6929
G3,3886,2276-2019,2553-1719
G3,3894,,2107-7266
G3,3894,,2107-7266
G3,3895,2262-7340,2552-0741
G3,3896,1951-2562,1630-7364
G3,3897,0035-3183,1878-4313
G3,3901,0988-6486,
G3,3901,0988-6486,
G3,3904,1958-7198,2823-4790
G3,3906,,2270-4957
G3,3906,1146-7673,
G3,3907,2258-7942,2259-1001
G3,3914,,2491-8490
G3,3916,,2031-0293
G3,3927,2426-8313,2803-3469
G3,3928,2427-2728,2804-0236
G3,3942,1763-4261,2551-3761
G3,3956,1166-7699,1777-5949
G3,3958,0751-7688,2546-9002
G3,3960,2551-8313,2553-6133
G3,3971,,2274-2042
G3,3971,,2274-2042
G3,3977,,2036-4091
G3,3978,2032-9806,2565-7097
G3,3982,,1764-7355
G3,3984,,2494-1271
G3,3986,,2426-413X
G3,3987,0761-9081,2650-8176
G3,3988,0769-0681,2779-2005
G4,3990,,3001-6401
G4,3995,,2492-2080
G4,3999,,2107-7150
G4,4000,1639-0237,1765-3096
G4,4004,,2265-8777
G4,4005,1283-873X,
G4,4007,,2492-3672
G4,4007,,2492-3672
G4,4021,1762-0597,2610-072X
G4,4022,0758-3478,2968-6180
G4,4028,0755-7752,2647-8463
G4,4028,0995-872X,2802-1118
G4,4028,0048-8151,2802-1134
G4,4029,0016-5522,2647-7572
G4,4037,1140-5082,2613-2788
G4,4037,1158-3428,2420-0085
G4,4039,2266-7407,2804-7990
G4,4040,,2554-4470
G4,4040,,2554-4470
G4,4044,2491-1453,2119-9655
G4,4066,0048-7163,2613-2737
G4,4086,,2554-3822
G4,4086,,2554-3822
G4,4093,2736-2280,2736-2299
G4,4097,,2606-6645
G4,4097,,2606-6645
G4,4103,0409-8846,2391-1387
G4,4105,2555-6266,2557-0498
G4,4112,1622-8545,2269-9872
G4,4143,1297-9112,2780-9986
G4,4144,1262-022X,1777-568X
G4,4147,,0719-4153
G4,4152,0753-5015,2647-7556
G4,4171,,2108-6532
G4,4171,,2108-6532
G4,4196,0758-4431,2419-8676
G4,4253,1573-3084,1879-6095
G4,4259,2274-4444,3001-0616
G4,4263,2275-3974,3001-4964
G4,4263,2275-4172,3001-4999
G4,4263,2275-2919,3001-4972
G4,4264,0429-3320,2613-2842
G4,4264,0366-5674,2613-2834
G4,4274,0526-8400,1760-5830
G4,4281,1283-3878,2647-7270
G4,4292,0373-0956,1777-5310
G4,4293,1635-5202,2823-2801
G4,4298,1282-6545,2677-6529
G4,4299,0765-0590,2264-1459
G4,4319,,2826-4835
G4,4332,0515-3700,2352-7978
G4,4333,,2352-5568
G4,4334,2352-5800,2352-5819
G4,4334,0750-7658,1769-6623
G4,4335,0003-3928,1768-3181
G4,4336,0151-9638,2214-5451
G4,4337,0753-3969,1778-3666
G4,4338,0294-1260,1768-319X
G4,4339,0242-6498,2213-008X
G4,4340,0003-4266,2213-3941
G4,4341,1879-7261,1879-727X
G4,4342,0003-4487,1769-6631
G4,4343,1877-0657,1877-0665
G4,4344,0003-4509,2772-803X
G4,4345,0929-693X,1769-664X
G4,4346,1875-2136,1875-2128
G4,4347,1261-694X,2405-4313
G4,4348,0753-3322,1950-6007
G4,4349,0007-4551,1769-6917
G4,4350,0007-9820,2468-5232
G4,4351,0924-4212,1878-6510
G4,4351,1278-3218,1769-6658
G4,4352,0007-9960,2352-4960
G4,4353,2210-7401,2210-741X
G4,4353,0399-8320,2352-3662
G4,4354,1387-1609,1878-5859
G4,4354,1631-0748,1878-1543
G4,4355,0764-4469,1878-5565
G4,4355,1631-0691,1768-3238
G4,4356,1631-0713,1778-7025
G4,4357,0764-4442,1778-3577
G4,4357,1631-073X,1778-3569
G4,4358,1620-7742,1873-751X
G4,4358,1251-8069,1873-7250
G4,4358,1287-4620,1873-7404
G4,4358,1631-0721,1873-7234
G4,4363,1280-8571,1639-4798
G4,4372,0240-2955,3038-9917
G4,4372,0240-2963,2258-7519
G4,4372,0996-0481,3038-9941
G4,4418,0012-9593,1873-2151
G4,4421,0761-3032,2107-0881
G4,4424,0990-7440,1765-2952
G4,4426,0758-9670,2679-0009
G4,4428,0153-9337,2608-4228
G4,4435,,2590-0412
G4,4435,0761-8417,1776-2561
G4,4436,0003-4088,2100-000X
G4,4436,,2823-1465
G4,4436,,2823-1465
G4,4438,0768-598X,1961-9480
G4,4438,0996-8423,
G4,4439,0004-6361,1432-0746
G4,4442,2273-1709,2117-4458
G4,4444,2105-0678,2105-0686
G4,4444,1295-0661,1760-6128
G4,4444,0037-9026,2437-3532
G4,4463,2109-2761,2679-6104
G4,4467,0303-1179,2492-5926
G4,4470,0037-9484,2102-622X
G4,4488,1370-267X,2795-8736
G4,4489,,1961-8581
G4,4489,,1961-8581
G4,4496,1292-8119,1262-3377
G4,4497,0003-3901,2669-6525
G4,4498,,2118-9773
G4,4501,1280-9659,1638-9395
G4,4506,0992-2059,2802-3285
G4,4511,1628-2205,2102-5983
G4,4513,0753-9053,1878-0733
G4,4513,1153-2424,2213-9591
G4,4513,1297-3203,1769-6666
G4,4513,2468-1229,2468-1210
G4,4515,1631-0683,1777-571X
G4,4517,1296-2147,1878-5557
G4,4517,1631-0705,1878-1535
G4,4518,,2551-6116
G4,4518,1962-2864,2494-7830
G4,4518,,2551-6116
G4,4520,1262-3636,1878-1780
G4,4524,1624-5687,2213-025X
G4,4525,1629-6583,2214-8078
G4,4525,2772-9729,2772-9710
G4,4526,2555-0403,2267-1242
G4,4527,1633-4760,1638-1963
G4,4528,1294-9361,1950-6945
G4,4534,,2272-2394
G4,4534,,2272-2394
G4,4535,,2105-0716
G4,4535,,2105-0716
G4,4536,0397-9334,2777-3507
G4,4536,0373-8000,2777-3515
G4,4537,0003-4452,2398-676X
G4,4538,1292-8100,1262-3318
G4,4540,1765-4629,1769-695X
G4,4544,1148-5493,1952-4005
G4,4546,0037-9085,1961-9049
G4,4547,0044-586X,2107-7207
G4,4548,0240-642X,1958-5454
G4,4548,0397-9164,
G4,4549,0995-3817,2647-8145
G4,4550,1292-8895,1292-8909
G4,4551,1295-490X,2437-234X
G4,4553,,2119-0275
G4,4555,0003-3898,1950-6112
G4,4556,0037-9271,2168-6351
G4,4560,0246-0203,1778-7017
G4,4561,0294-1449,1873-1430
G4,4563,2101-6275,2100-014X
G4,4564,0924-9338,1778-3585
G4,4564,0767-399X,2633-0903
G4,4566,,2212-764X
G4,4567,2108-6524,2108-6591
G4,4568,1162-9088,1878-3457
G4,4570,2115-8789,2115-7863
G4,4570,1760-1703,1950-6988
G4,4572,1297-9589,1769-6682
G4,4573,1161-0492,2824-8082
G4,4574,1259-1734,2118-7436
G4,4575,1286-4560,1297-966X
G4,4575,0003-4312,1878-6545
G4,4577,,1768-3262
G4,4580,0001-4192,2259-2385
G4,4581,1953-5171,2100-0794
G4,4582,,1634-0744
G4,4584,0003-4347,1958-9395
G4,4585,0044-8435,1297-9678
G4,4585,0570-1597,2777-3302
G4,4586,0294-3506,1769-7174
G4,4587,0006-579X,1777-5760
G4,4589,0037-9409,1777-5817
G4,4590,0007-4497,1952-4773
G4,4593,0145-5680,1165-158X
G4,4594,0016-6995,1777-5728
G4,4595,0923-2532,1878-1365
G4,4595,0980-9090,2213-9508
G4,4597,,2105-1232
G4,4598,1776-9817,2214-8485
G4,4602,1761-7227,1879-680X
G4,4604,1959-0318,1876-0988
G4,4604,1297-9562,1878-3600
G4,4606,1297-319X,1778-7254
G4,4608,1996-3041,2413-5380
G4,4611,1271-0318,2268-7289
G4,4611,,2778-844X
G4,4613,1951-6371,1951-638X
G4,4614,0181-1568,1776-0984
G4,4615,1290-0796,1776-0992
G4,4616,0181-1584,1776-100X
G4,4617,1779-627X,1779-6288
G4,4618,2107-6839,2107-6847
G4,4619,,2452-3186
G4,4619,0369-8114,1768-3114
G4,4620,2431-7578,2271-2097
G4,4621,0021-7697,1773-0422
G4,4623,0150-9918,
G4,4623,2468-8495,2468-7847
G4,4625,1156-5233,1773-0449
G4,4626,2543-344X,2543-3431
G4,4626,0221-0363,1773-0384
G4,4626,2211-5706,2211-5714
G4,4627,1958-5586,1958-5594
G4,4627,0023-7302,1297-9694
G4,4628,2271-8273,2272-057X
G4,4630,0242-648X,1773-0457
G4,4631,1155-1704,2405-4356
G4,4631,2666-3473,2589-9791
G4,4632,1011-288X,1951-6398
G4,4633,0762-915X,1773-0465
G4,4634,1294-5501,2214-8086
G4,4635,0398-0499,2214-8116
G4,4636,0295-5075,1286-4854
G4,4636,0302-072X,2777-3434
G4,4638,0993-9857,1773-0473
G4,4638,2211-4238,2211-4246
G4,4639,,2267-3059
G4,4639,,1270-900X
G4,4639,,1270-900X
G4,4639,,2267-3059
G4,4640,0181-5512,1773-0597
G4,4646,2269-0530,2115-452X
G4,4650,2352-5525,2352-5533
G4,4651,1964-8189,2116-7214
G4,4651,1279-5119,
G4,4652,,2468-7499
G4,4654,1167-1122,1952-4013
G4,4655,1286-0042,1286-0050
G4,4658,1818-8710,2100-0646
G4,4658,1023-6368,2957-7462
G4,4658,0335-9581,2777-3701
G4,4658,0335-959X,2777-3728
G4,4659,1951-6355,1951-6401
G4,4659,1155-4339,1764-7177
G4,4659,0449-1947,2777-3418
G4,4662,1296-2074,1778-3674
G4,4663,0150-9861,1773-0406
G4,4664,0037-9379,2971-091X
G4,4665,,1878-7886
G4,4666,1779-0123,2213-1566
G4,4667,,1961-9502
G4,4667,1297-6318,1961-9499
G4,4667,0373-0514,2777-3469
G4,4667,0767-2861,2777-3450
G4,4667,,1961-9502
G4,4669,0221-5896,2802-1401
G4,4671,0755-4982,2213-0276
G4,4672,0248-8663,1768-3122
G4,4674,1878-6529,1878-6537
G4,4676,1637-4088,2214-7888
G4,4677,2772-9540,2772-9532
G4,4677,0768-9179,1953-8359
G4,4677,2211-1042,2211-1050
G4,4678,1279-7960,2352-3573
G4,4679,0013-7006,2589-4935
G4,4680,0014-3855,1769-6674
G4,4684,0081-1181,2540-3494
G4,4685,0953-1424,1952-4021
G4,4686,,2265-4224
G4,4686,,2265-4224
G4,4687,2274-7214,2261-236X
G4,4688,0032-6895,1778-3771
G4,4688,0399-1113,2777-3523
G4,4688,2266-7539,2777-354X
G4,4689,1246-7391,1777-5612
G4,4692,1769-4493,2352-3395
G4,4693,0928-1258,1878-6820
G4,4694,0255-0962,2429-2869
G4,4695,1636-6522,2213-0098
G4,4696,2271-3646,2271-3654
G4,4696,0035-1563,1156-3141
G4,4697,1286-0115,2352-3387
G4,4698,0245-5919,2214-8094
G4,4699,1769-7255,1872-9177
G4,4700,0028-3770,1773-0619
G4,4701,0987-7053,1769-7131
G4,4701,0370-4475,2212-1110
G4,4702,0222-9617,1769-6615
G4,4703,1434-6028,1434-6036
G4,4705,1434-6060,1434-6079
G4,4707,1292-8941,1292-895X
G4,4708,2102-6459,2102-6467
